label_std,high,low,medium
LABEL_0,5,5,5
LABEL_1,5,5,5
LABEL_2,5,5,5
LABEL_3,5,5,5
LABEL_4,5,5,5
LABEL_5,5,5,5
LABEL_6,5,5,5
LABEL_7,5,5,5
LABEL_8,5,5,5
LABEL_9,5,5,5
