[2025-12-10 21:11:34] Geração 060 — mean=-59.90586853027344, best=-23.329435348510742, std=9.811087608337402
[2025-12-10 21:11:41] Geração 061 — mean=-60.000980377197266, best=-23.329435348510742, std=9.60327434539795
[2025-12-10 21:11:47] Geração 062 — mean=-59.06068801879883, best=-23.329435348510742, std=10.186019897460938
[2025-12-10 21:11:54] Geração 063 — mean=-59.550506591796875, best=-23.329435348510742, std=10.113831520080566
[2025-12-10 21:12:01] Geração 064 — mean=-59.20362854003906, best=-23.329435348510742, std=10.29444408416748
[2025-12-10 21:12:08] Geração 065 — mean=-57.171897888183594, best=-23.329435348510742, std=10.72813606262207
[2025-12-10 21:12:15] Geração 066 — mean=-56.67728042602539, best=-23.329435348510742, std=10.071671485900879
[2025-12-10 21:12:21] Geração 067 — mean=-56.76695251464844, best=-23.329435348510742, std=10.217196464538574
[2025-12-10 21:12:28] Geração 068 — mean=-54.98790740966797, best=-23.329435348510742, std=10.052833557128906
[2025-12-10 21:12:35] Geração 069 — mean=-53.91108703613281, best=-23.329435348510742, std=10.402837753295898
[2025-12-10 21:12:42] Geração 070 — mean=-52.87147521972656, best=-23.329435348510742, std=9.481462478637695
[2025-12-10 21:12:49] Geração 071 — mean=-52.71638107299805, best=-23.329435348510742, std=9.32014274597168
[2025-12-10 21:12:55] Geração 072 — mean=-52.597320556640625, best=-23.329435348510742, std=9.672205924987793
[2025-12-10 21:13:02] Geração 073 — mean=-52.972633361816406, best=-23.329435348510742, std=8.837169647216797
[2025-12-10 21:13:10] Geração 074 — mean=-52.21514129638672, best=-23.329435348510742, std=8.567672729492188
[2025-12-10 21:13:16] Geração 075 — mean=-51.9366340637207, best=-23.329435348510742, std=8.242433547973633
[2025-12-10 21:13:23] Geração 076 — mean=-52.342716217041016, best=-23.329435348510742, std=7.911430358886719
[2025-12-10 21:13:30] Geração 077 — mean=-52.28116226196289, best=-23.329435348510742, std=7.853918552398682
[2025-12-10 21:13:37] Geração 078 — mean=-52.79214096069336, best=-23.329435348510742, std=7.288755416870117
[2025-12-10 21:13:44] Geração 079 — mean=-52.78047561645508, best=-23.329435348510742, std=7.811502456665039
[2025-12-10 21:13:50] Geração 080 — mean=-52.455413818359375, best=-23.329435348510742, std=8.03393268585205
[2025-12-10 21:13:57] Geração 081 — mean=-51.9062614440918, best=-23.329435348510742, std=8.81355094909668
[2025-12-10 21:14:04] Geração 082 — mean=-51.883235931396484, best=-23.329435348510742, std=8.821175575256348
[2025-12-10 21:14:11] Geração 083 — mean=-51.96907043457031, best=-23.329435348510742, std=8.136566162109375
